"","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","data_shannon","data_eveness"
"D1",9308,10146.2783278328,62.3563702830208,9978.878297333,48.7069640582935,1.43519452029122,0.157047018533336
"D2",7987,9250.34806629834,81.1593600752965,9143.37818904434,45.7154527295545,1.74834401176255,0.194572399378893
"D3",5420,7215.43844492441,111.112831778546,7554.86941346609,47.0622121881932,0.851101285783653,0.0989900006915289
"D4",1160,2912.50331125828,197.118181084961,3179.66349370315,37.5157084842444,0.0159972830134009,0.00226713231592296
"D5",9496,10268.2305909618,59.4093842591055,10121.9181675395,49.4963469277394,2.66047933285626,0.290488917372918
"P1",11344,12009.9777158774,66.8238917759309,11800.307424236,44.1608687523321,5.0098842031212,0.536594453908958
"P2",9660,10310.5036927622,55.4898571107813,10169.12382228,49.0313432019622,3.2092922446546,0.349758070988503
"P3",8663,9685.97345132743,68.5719948716331,9586.60375857613,45.9426914809599,0.217805929903891,0.0240223162365323
"P4",10137,10667.7819548872,50.5955543825807,10508.1358193988,48.5260998648142,4.63382386383939,0.502368853079811
"P5",11102,11768.8471502591,65.5492701009457,11560.1200611533,44.9011870472337,4.52765043232632,0.48606639746107
