feature	Coprothermobacterota	Candidatus.Fervidibacteria	Nitrospinota	Chrysiogenota	Calditrichota	Caldisericota	Atribacterota	Thermodesulfobiota	Elusimicrobiota	Dictyoglomota	Synergistota	Nitrospirota	Candidatus.Absconditabacteria	Candidatus.Bipolaricaulota	Candidatus.Saccharibacteria	Aquificota	Deferribacterota	Bdellovibrionota	Thermotogota	Acidobacteriota	Thermodesulfobacteriota	Spirochaetota	Myxococcota	Fusobacteriota	Campylobacterota	Candidatus.Omnitrophota	Lentisphaerota	Kiritimatiellota	Verrucomicrobiota	Planctomycetota	Chlamydiota	Fibrobacterota	Candidatus.Cloacimonadota	Gemmatimonadota	Balneolota	Rhodothermota	Ignavibacteriota	Chlorobiota	Bacteroidota	Vulcanimicrobiota	Armatimonadota	Thermomicrobiota	Chloroflexota	Deinococcota	Cyanobacteriota	Mycoplasmatota	Actinomycetota	Bacillota	Pseudomonadota	Streptophyta	Evosea	Heterolobosea	Euglenozoa	Fornicata	Parabasalia	Cercozoa	Bacillariophyta	Ciliophora	Apicomplexa	Microsporidia	Basidiomycota	Ascomycota	Candidatus.Korarchaeota	Candidatus.Nanohaloarchaeota	Nanoarchaeota	Candidatus.Micrarchaeota	Candidatus.Lokiarchaeota	Candidatus.Thermoplasmatota	Nitrososphaerota	Thermoproteota	Euryarchaeota	Dividoviricota	Hofneiviricota	Saleviricota	Phixviricota	Taleaviricota	Duplornaviricota	Lenarviricota	Pisuviricota	Kitrinoviricota	Negarnaviricota	Artverviricota	Preplasmiviricota	Nucleocytoviricota	Peploviricota	Uroviricota	Cressdnaviricota	Cossaviricota
D1	0	0	1	2	3	5	11	12	14	22	28	39	4	4	6	49	49	305	306	375	741	1169	1193	2851	3183	2	11	11	160	811	2854	2	9	52	2	36	42	45	9453	2	10	35	118	440	1657	19582	57747	104521	21269018	0	216	1	460	141	340	7	91	22	4589	14	807	5304	0	1	5	7	19	78	104	321	1596	0	0	0	0	7	0	1	8	14	29	53	8	219	32	1251	2	19826914
D2	6	4	15	1	5	6	5	2	27	37	52	59	6	2	19	30	14	83	114	162	516	312	582	659	639	3	0	2	111	284	3242	9	0	88	1	10	7	39	3654	102	7	8	68	140	771	1638	58581	583023	14682830	0	32	0	130	1	130	2	49	1	3857	7	231	3162	1	0	1	0	3	14	125	152	761	0	0	0	0	1	0	4	33	7	25	21	2	71	8	8082	2	14822420
D3	0	0	0	0	2	0	1	3	0	0	6	5	0	0	1	5	1	10	21	103	294	103	289	137	137	0	0	3	35	131	349	0	0	1	0	3	1	17	1168	2	1	23	81	95	225	741	16209	14030	1501774	0	9	0	72	1	27	1	25	2	627	1	107	710	1	0	0	0	0	0	14	73	576	0	0	0	1	0	0	0	0	5	0	3	1	32	3	6708	0	7311682
D4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	4	2	3	5	10	6	22	18	0	0	0	2	5	314	0	0	0	0	0	0	0	126	0	0	1	1	5	37	45	3751	4761	8026	0	2	0	6	0	6	0	8	0	43	0	31	279	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	13	0	1	1	1	0	201	0	9510121
D5	19	2	88	20	7	2	10	11	25	5	97	217	10	3	98	88	37	247	240	515	1253	1087	1665	2059	2228	3	6	8	340	906	1975	4	1	392	1	32	60	99	12587	132	17	23	139	524	2465	12454	83024	322274	17150016	0	229	1	426	6	403	7	101	26	4051	17	586	5886	0	0	11	6	10	48	98	272	2684	0	0	1	2	3	1	1	149	36	18	67	5	289	24	3844	9	12848845
P1	13	33	73	52	52	25	44	67	156	127	790	518	51	34	156	428	374	806	1469	2759	5995	8210	9384	21310	10984	10	75	44	1790	4846	7598	16	13	663	37	378	195	358	75520	217	108	216	1062	3732	11588	39210	417994	1277616	15004415	0	1016	1	4250	85	3563	20	384	61	20300	85	4741	34753	3	9	35	11	82	287	828	2248	11006	4	9	0	1	21	35	16	362	144	136	880	32	1885	617	242463	68	4687
P2	5	2	21	4	6	4	5	51	1591	910	68	87	349	2	41	652	1391	1430	4214	781	10992	6082	1626	37698	34215	5	3	9	3662	3028	5144	2	57	106	0	28	836	109	103858	60	16	162	2986	1216	13705	406602	207627	1300201	79700850	0	1261	1	713	4	5689	0	28	9	20229	4	1259	18006	0	1	8	2	6	753	1237	2230	11441	0	2	0	0	0	279	0	73	58	258	4	3	2631	287	65044	1	314661
P3	0	5	0	2	2	1	3	8	13	20	67	18	5	10	2	52	37	58	241	494	593	958	1007	904	1919	2	9	2	137	492	713	2	0	31	4	53	17	17	7592	5	10	12	94	359	1358	15033	42024	25192	1105214	0	188	0	433	7	294	10	60	13	2488	8	535	3748	1	0	22	0	6	33	108	193	1303	0	3	0	0	4	4	3	17	33	15	60	7	199	55	933	4	28585830
P4	58	8	370	123	7	7	23	42	1420	790	421	1142	367	9	498	679	1088	1616	3717	2348	6223	5491	5807	18637	21401	16	12	8	1773	3420	5575	3	44	1933	0	27	655	568	106352	367	64	15	669	1650	16411	365009	329658	2984522	67828579	0	1177	2	1067	11	8975	1	33	3	27115	35	1932	26774	0	0	7	1	36	301	1332	2282	12472	1	0	0	1	1	183	4	828	96	305	10	6	2370	55	6743000	2	45561
P5	108	18	438	71	28	15	27	25	287	231	1017	1677	17	34	492	627	184	1091	1097	3908	8904	4452	14528	13446	6413	12	26	29	2427	6600	5198	9	14	2940	15	247	159	813	68576	2017	133	103	932	3678	12560	10751	614310	5597553	70822888	1	508	1	2692	39	1150	19	425	11	26512	137	3833	28721	2	3	16	4	92	187	1695	1788	17283	0	4	0	0	7	6	23	1327	159	64	249	34	731	208	11881	20	24338
