Sample_id,Coprothermobacterales,Nitrospinales,Chrysiogenales,Calditrichales,Caldisericales,Atribacterales,Thermodesulfobiales,Elusimicrobiales,Endomicrobiales,Dictyoglomales,Bradymonadales,Synergistales,Thermodesulfovibrionales,Nitrospirales,Candidatus Absconditabacterales,Candidatus Saccharimonadales,Candidatus Nanosynbacterales,Candidatus Babeliales,Desulfurobacteriales,Aquificales,Deferribacterales,Silvanigrellales,Bdellovibrionales,Bacteriovoracales,Mesoaciditogales,Kosmotogales,Thermotogales,Petrotogales,Vicinamibacterales,Thermotomaculales,Acanthopleuribacterales,Holophagales,Bryobacterales,Terriglobales,Syntrophales,Desulfomonilales,Candidatus Desulfofervidales,Syntrophobacterales,Desulfobaccales,Thermodesulfobacteriales,Desulfarculales,Desulfobulbales,Desulfobacterales,Desulfuromonadales,Geobacterales,Desulfovibrionales,Brevinematales,Leptospirales,Brachyspirales,Spirochaetales,Haliangiales,Nannocystales,Polyangiales,Myxococcales,Fusobacteriales,Desulfurellales,Nautiliales,Campylobacterales,Lentisphaerales,Tichowtungiales,Kiritimatiellales,Methylacidiphilales,Puniceicoccales,Opitutales,Limisphaerales,Verrucomicrobiales,Candidatus Brocadiales,Tepidisphaerales,Sedimentisphaerales,Phycisphaerales,Candidatus Uabimicrobiales,Isosphaerales,Gemmatales,Pirellulales,Planctomycetales,Parachlamydiales,Chlamydiales,Fibrobacterales,Candidatus Cloacimonadales,Gemmatimonadales,Balneolales,Rhodothermales,Ignavibacteriales,Chlorobiales,Candidatus Sulfidibacteriales,Saprospirales,Chitinophagales,Sphingobacteriales,Cytophagales,Marinilabiliales,Bacteroidales,Flavobacteriales,Vulcanimicrobiales,Chthonomonadales,Fimbriimonadales,Capsulimonadales,Thermomicrobiales,Sphaerobacterales,Phototrophicales,Ktedonobacterales,Anaerolineales,Caldilineales,Candidatus Promineifilales,Tepidiformales,Thermoflexales,Chloroflexales,Dehalococcoidales,Trueperales,Thermales,Deinococcales,Coleofasciculales,Gloeomargaritales,Oculatellales,Thermostichales,Gomontiellales,Nodosilineales,Geitlerinematales,Chroococcidiopsidales,Gloeobacterales,Acaryochloridales,Leptolyngbyales,Pseudanabaenales,Pleurocapsales,Oscillatoriales,Chroococcales,Nostocales,Synechococcales,Candidatus Izemoplasmatales,Acholeplasmatales,Mycoplasmatales,Entomoplasmatales,Mycoplasmoidales,Egicoccales,Euzebyales,Egibacterales,Rubrobacterales,Acidimicrobiales,Coriobacteriales,Eggerthellales,Thermoleophilales,Miltoncostaeales,Solirubrobacterales,Acidothermales,Sporichthyales,Actinopolysporales,Glycomycetales,Candidatus Nanopelagicales,Kineosporiales,Jatrophihabitantales,Catenulisporales,Nakamurellales,Jiangellales,Bifidobacteriales,Geodermatophilales,Frankiales,Actinomycetales,Streptosporangiales,Propionibacteriales,Pseudonocardiales,Micromonosporales,Micrococcales,Kitasatosporales,Mycobacteriales,Limnochordales,Dethiobacterales,Acidaminococcales,Veillonellales,Selenomonadales,Erysipelotrichales,Tissierellales,Koleobacterales,Thermosediminibacterales,Natranaerobiales,Moorellales,Thermoanaerobacterales,Halanaerobiales,Caldicellulosiruptorales,Eubacteriales,Bacillales,Lactobacillales,Hydrogenophilales,Mariprofundales,Acidithiobacillales,Ferrovales,Nitrosomonadales,Rhodocyclales,Neisseriales,Burkholderiales,Magnetococcales,Sneathiellales,Geminicoccales,Minwuiales,Emcibacterales,Parvularculales,Kordiimonadales,Maricaulales,Hyphomonadales,Candidatus Pelagibacterales,Holosporales,Rickettsiales,Rhodospirillales,Sphingomonadales,Rhodobacterales,Caulobacterales,Hyphomicrobiales,Candidatus Comchoanobacterales,Steroidobacterales,Thiohalomonadales,Immundisolibacterales,Salinisphaerales,Kangiellales,Nevskiales,Thiohalobacterales,Acidiferrobacterales,Cardiobacteriales,Orbales,Methylococcales,Cellvibrionales,Legionellales,Thiotrichales,Chromatiales,Pasteurellales,Oceanospirillales,Moraxellales,Alteromonadales,Vibrionales,Xanthomonadales,Pseudomonadales,Aeromonadales,Enterobacterales,Brassicales,Pyrenomonadales,Cryptomonadales,Acytosteliales,Dictyosteliales,Trypanosomatida,Diplomonadida,Trichomonadida,Naviculales,Thalassiosirales,Peniculida,Eucoccidiorida,Piroplasmida,Haemosporida,Malasseziales,Ustilaginales,Trichosporonales,Tremellales,Cantharellales,Agaricales,Pucciniales,Schizosaccharomycetales,Saccharomycetales,Pleosporales,Mycosphaerellales,Eurotiales,Helotiales,Sordariales,Magnaporthales,Glomerellales,Hypocreales,Candidatus Nanohalobiales,Nanobdellales,Candidatus Micrarchaeales,Candidatus Prometheoarchaeales,Methanomassiliicoccales,Thermoplasmatales,Conexivisphaerales,Candidatus Nitrosocaldales,Nitrososphaerales,Nitrosopumilales,Fervidicoccales,Thermoproteales,Thermofilales,Acidilobales,Desulfurococcales,Sulfolobales,Candidatus Methanoliparales,Methanonatronarchaeales,Archaeoglobales,Thermococcales,Methanopyrales,Methanobacteriales,Methanococcales,Methanocellales,Methanotrichales,Methanomicrobiales,Methanosarcinales,Haloferacales,Natrialbales,Halobacteriales,Halopanivirales,Tubulavirales,Haloruvirales,Petitvirales,Ligamenvirales,Lefavirales,Ghabrivirales,Reovirales,Cryppavirales,Timlovirales,Norzivirales,Stellavirales,Patatavirales,Durnavirales,Picornavirales,Nidovirales,Sobelivirales,Nodamuvirales,Tolivirales,Amarillovirales,Tymovirales,Martellivirales,Hepelivirales,Articulavirales,Bunyavirales,Jingchuvirales,Mononegavirales,Blubervirales,Ortervirales,Orthopolintovirales,Priklausovirales,Atroposvirales,Belfryvirales,Kalamavirales,Rowavirales,Asfuvirales,Chitovirales,Pimascovirales,Algavirales,Imitervirales,Herpesvirales,Kirjokansivirales,Nakonvirales,Thumleimavirales,Crassvirales,Baphyvirales,Mulpavirales,Cirlivirales,Geplafuvirales,Sepolyvirales,Zurhausenvirales,Piccovirales
D1,0,1,2,3,5,11,12,2,12,22,21,28,11,28,4,0,5,25,10,39,49,43,64,198,2,5,115,184,41,5,23,116,29,142,0,2,2,5,8,21,27,36,129,75,129,301,0,104,180,885,55,93,288,751,2851,9,130,3023,11,2,9,20,14,43,10,69,3,5,10,18,272,102,116,118,158,200,2599,2,9,52,2,36,42,45,14,61,302,562,1004,377,909,6074,2,1,3,6,3,32,0,2,4,5,10,12,12,27,42,6,125,309,2,5,6,8,9,19,20,20,20,24,31,32,47,120,267,413,545,56,305,1948,2611,13709,12,12,18,46,129,65,72,4,39,164,2,10,10,14,25,33,38,43,50,53,116,144,149,542,1044,1692,1936,2378,7808,13809,21427,43,48,17,132,138,482,404,1,18,25,29,112,148,619,10749,14187,75775,0,2,33,3,291,377,785,8929,0,1,6,6,14,18,21,22,78,100,242,378,1287,1754,1772,3108,6892,2,3,4,6,9,19,19,23,23,58,142,367,395,420,480,487,1308,1551,2204,2707,3220,5973,9372,33119,21090139,0,4,9,0,216,460,141,340,34,57,22,351,1853,2369,60,80,40,64,59,83,395,70,2151,82,113,797,85,211,237,216,1210,1,5,0,19,7,37,3,1,16,77,2,24,43,49,60,139,2,2,29,72,3,129,135,7,9,137,151,274,282,321,0,0,0,0,7,54,0,0,0,0,1,0,0,0,1,2,5,0,0,0,0,6,8,0,7,11,11,0,53,0,1,0,0,0,7,3,44,7,15,150,32,0,0,0,19,0,0,0,2,0,7,19826907
D2,6,15,1,5,6,5,2,2,25,37,6,52,5,54,6,0,18,4,1,29,14,36,20,27,4,3,14,93,12,0,4,26,8,108,0,9,0,3,2,8,27,13,108,11,33,302,0,50,41,221,6,47,210,319,659,0,14,621,0,0,2,1,11,35,15,48,5,3,4,11,3,61,32,84,75,12,3230,9,0,88,1,10,7,39,8,29,168,271,514,116,539,1947,102,0,2,5,0,7,2,9,5,3,13,10,1,17,1,1,33,106,1,1,1,1,4,2,0,18,7,28,29,3,12,26,73,360,192,5,49,236,522,761,64,2,3,24,61,25,35,1,14,226,2,4,4,8,2,8,7,58,26,34,80,72,54,189,370,1627,1248,1235,4318,6329,33018,8,5,4,39,108,199,139,4,6,38,3,110,45,115,117488,37289,424455,0,0,12,147,272,326,929,15080,0,3,1,7,4,4,102,10,20,11,7,203,1210,1695,1352,1994,7114,1,2,0,0,26,6,6,10,21,22,234,760,169,108,168,325,478,1312,990,1802,2554,6520,11824,1577,14573082,0,4,7,0,32,130,1,130,24,25,1,295,2889,652,18,18,9,36,10,17,108,12,1310,58,23,310,24,61,73,79,1149,0,1,0,3,2,10,0,0,12,110,3,68,19,4,5,51,3,7,11,30,0,44,48,3,3,33,64,164,235,111,0,0,0,0,1,226,0,0,1,0,3,0,0,0,0,33,0,0,0,0,0,0,7,0,3,0,22,0,21,0,0,0,0,0,2,0,7,12,13,39,8,0,0,0,6,0,0,0,2,0,0,14822420
D3,0,0,0,2,0,1,3,0,0,0,18,6,2,3,0,0,0,8,1,4,1,1,8,1,0,5,2,14,14,1,16,17,16,31,0,1,1,2,0,1,16,10,26,54,21,154,0,7,10,86,1,22,59,207,137,1,16,120,0,0,3,15,1,4,0,15,0,0,2,4,0,19,31,33,41,18,331,0,0,1,0,3,1,17,5,9,48,91,234,22,235,499,2,0,0,1,0,23,0,5,3,0,0,4,0,19,50,0,33,62,1,0,1,1,0,19,24,4,0,2,11,2,3,24,16,48,64,3,12,72,298,318,1,4,2,4,22,33,9,0,11,43,1,0,2,4,0,2,12,3,6,15,21,7,53,163,338,391,541,495,1661,2935,8008,29,76,4,66,10,15,26,0,0,4,16,8,3,41,1125,4919,7535,0,0,14,1,136,154,544,4563,0,0,1,1,3,4,1,2,43,5,1,20,382,749,856,1013,2780,0,0,0,1,0,4,4,1,10,31,16,188,345,33,123,188,5671,1218,674,1113,1478,1998,6311,1127,1460435,0,1,1,0,9,72,1,27,1,24,2,111,330,171,31,8,5,4,18,3,28,3,192,5,8,85,14,23,19,30,319,0,0,0,0,0,0,0,0,2,12,0,3,8,9,38,14,0,0,5,8,0,17,3,1,2,23,31,96,252,131,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,1,2,4,4,8,14,3,0,0,0,3,0,0,0,0,1,0,7311681
D4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,4,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,2,8,0,1,0,5,22,0,0,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,3,0,314,0,0,0,0,0,0,0,0,1,12,6,13,2,11,81,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,3,10,5,10,0,2,7,19,15,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1,10,4,46,13,8,59,231,2627,0,0,0,1,2,6,3,0,0,2,0,0,3,1,75,188,4476,0,0,0,0,3,3,7,62,0,0,0,0,0,0,2,0,0,3,0,16,15,8,14,11,93,0,0,0,0,0,0,2,1,0,0,0,24,3,1,5,8,4,61,39,28,23,398,250,24,6692,0,2,1,0,2,6,0,6,3,5,0,10,17,15,7,4,1,11,3,3,2,2,131,0,9,14,0,6,7,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,2,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9510121
D5,19,88,20,7,2,10,11,2,23,5,21,97,11,206,10,0,94,23,6,82,37,114,97,36,2,25,95,118,19,9,18,87,52,320,2,21,4,2,20,91,55,51,375,69,104,451,2,109,131,845,29,174,645,809,2059,3,152,2072,6,3,5,32,14,60,74,154,5,5,15,56,13,166,102,254,287,72,1903,4,1,392,1,32,60,99,5,81,547,1104,1936,415,1636,6759,132,2,4,11,1,21,3,2,40,6,5,16,6,31,21,5,128,391,4,0,5,1,14,17,10,17,12,187,79,34,80,80,260,766,861,45,287,1472,1776,8417,225,6,22,42,165,48,257,1,79,465,2,4,2,14,15,21,21,213,86,187,217,191,296,667,1412,3769,3442,3672,10059,17176,30878,22,28,20,86,219,383,518,2,15,43,26,145,85,505,10193,21685,285494,4,1,113,412,759,1088,2914,34668,3,5,9,4,10,6,24,79,47,100,21,375,3925,5844,4390,3563,19408,5,3,5,6,99,15,10,61,21,64,215,1199,476,422,558,1069,5559,4993,52475,3960,5834,9143,42393,5302,16877954,0,13,18,0,229,426,6,403,75,26,26,584,1654,1754,49,49,40,118,41,74,205,54,1950,210,93,527,129,251,174,276,2141,0,11,0,10,5,41,1,0,22,66,2,28,54,33,43,110,3,2,24,244,0,468,198,6,8,156,165,415,611,369,0,0,1,2,3,43,0,1,1,0,0,0,1,1,3,137,7,0,0,2,3,2,29,1,7,0,10,0,67,0,2,0,0,1,2,6,28,15,21,219,24,0,0,0,16,0,0,5,4,0,2,12848843
P1,13,73,52,52,25,44,67,36,120,127,243,790,154,364,51,1,106,87,81,347,374,352,303,150,8,56,382,1023,352,30,70,1052,235,906,21,31,28,60,16,159,86,529,1331,621,675,2423,34,733,713,6729,274,392,2822,5874,21310,43,450,10466,75,27,17,68,188,406,152,891,62,76,96,341,108,842,828,1085,1388,223,7375,16,13,663,37,378,195,358,25,663,4276,8666,9452,1620,7295,42913,217,8,24,76,35,147,36,62,105,85,137,269,114,102,57,41,953,2732,56,9,162,11,128,54,73,226,156,180,321,201,171,620,1681,3694,3466,207,718,4611,11369,20650,287,105,99,539,1079,408,740,49,603,2360,23,41,125,137,75,230,244,448,470,706,1156,1629,1459,4386,8112,15183,17503,20448,54972,114560,127493,178,34,120,416,2329,2279,1880,48,98,107,205,1010,543,649,46950,63609,1148686,5,21,273,437,2076,2961,5627,64112,21,41,207,29,87,99,157,182,334,314,148,4478,10990,13734,15994,8268,180423,8,27,82,45,137,47,149,146,200,134,753,2636,1546,1550,1839,2482,4140,10569,8225,10100,11017,52525,202019,7043,14289205,0,24,49,2,1014,4250,85,3563,156,227,61,2659,4910,12681,306,595,401,521,331,822,1736,327,10155,742,656,4624,750,2224,1619,1619,11614,9,35,2,82,35,216,8,15,170,549,43,316,268,83,416,1087,25,23,356,606,15,1041,786,50,62,643,1184,2082,1554,2494,4,9,0,1,21,345,7,28,1,5,10,4,12,8,38,224,76,0,4,4,13,14,109,2,68,5,61,0,880,1,1,1,2,0,27,12,255,107,187,1324,617,0,2,3,104,1,9,13,45,7,7,4673
P2,5,21,4,6,4,5,51,198,1393,910,19,68,23,64,349,4,25,460,7,645,1391,1051,351,28,3,8,581,3620,18,4,12,100,29,610,8,7,6,8,1,23,25,600,2150,651,321,7187,4,610,699,4769,17,74,805,725,37698,3,132,33717,3,2,7,4,1167,365,25,2095,10,13,40,24,19,153,164,974,1620,404,4740,2,57,106,0,28,836,109,3,1078,5550,5678,9613,1255,5563,71773,60,2,7,7,8,152,12,405,9,910,880,244,4,501,10,16,220,980,1,2,6,3,7,11,273,282,817,275,78,198,21,459,4387,3164,3150,1458,6058,49205,62282,262614,60,19,15,56,853,535,213,26,90,1230,4,12,13,1206,6,37,79,64,378,110,1378,3246,249,537,1444,13486,11235,8080,38387,39346,66310,8,230,25,1122,5291,7716,7181,13,17,43,17,4000,2392,2505,154588,131216,962531,1,36,69,140,1122,8342,9406,79728,2,487,290,444,6,14,46,841,829,49,24,11003,11915,20422,15605,8598,62955,11,6,10,8,27,19,62,13,56,278,730,4616,2176,2770,3274,6603,6539,20733,18619,19827,18168,33557,268168,24542,78625048,0,4,18,0,1261,713,4,5689,15,12,9,1092,4165,14953,15,24,215,36,573,31,363,27,9910,67,48,921,1572,289,397,584,4174,1,8,2,6,2,739,1,0,203,1029,625,148,7,7,254,1188,276,11,6,582,3,1685,914,6,6,745,1558,1593,2445,1595,0,2,0,0,0,1049,0,279,0,0,0,0,0,0,2,42,29,0,0,0,0,6,52,0,9,0,249,0,4,0,0,0,0,0,3,2,667,10,26,1926,287,0,0,1,612,0,0,0,1,0,2,314659
P3,0,0,2,2,1,3,8,2,11,20,40,67,4,14,5,1,0,16,11,41,37,25,17,16,7,3,114,117,69,8,118,106,125,54,0,2,6,5,3,12,12,42,132,50,109,218,1,101,104,752,35,35,272,659,904,1,81,1834,9,0,2,11,14,32,0,73,9,5,8,33,8,91,105,82,147,16,697,2,0,31,4,53,17,17,4,40,352,404,881,165,729,4919,5,1,3,6,1,9,2,3,9,4,14,31,11,11,5,9,91,259,3,1,11,0,17,2,4,25,5,27,24,23,35,137,202,425,359,60,275,1916,1740,10170,9,12,4,61,100,38,56,4,63,150,2,5,16,17,3,44,29,28,34,51,91,129,190,524,877,2152,1781,2186,4677,13210,10791,16,4,20,47,89,393,279,1,2,16,15,147,82,78,5855,5831,11580,1,3,17,0,192,200,322,4829,1,5,15,1,8,7,11,24,41,31,32,328,829,1000,1097,705,3553,1,0,7,8,3,5,24,17,22,46,48,174,136,172,304,194,231,545,916,856,1281,8332,24809,419,1048660,0,2,7,1,187,433,7,294,18,42,13,258,559,1665,63,59,45,54,38,74,196,52,1375,62,98,396,63,226,188,150,1072,0,22,0,6,8,23,1,0,14,82,2,15,21,11,32,107,2,3,17,57,0,144,135,3,6,95,125,223,226,261,0,3,0,0,4,40,0,4,0,0,3,0,2,1,4,6,4,0,0,0,3,2,28,1,6,0,8,0,60,0,0,0,0,0,7,0,18,11,19,151,55,0,0,0,15,0,3,0,1,0,3,28585827
P4,58,370,123,7,7,23,42,188,1232,790,41,421,9,1133,367,1,492,411,8,671,1088,1206,373,36,1,5,447,3263,43,4,15,134,177,1949,5,41,5,5,1,133,62,111,2175,290,309,3082,3,551,535,4400,61,599,2721,2419,18637,3,135,21026,12,1,7,8,427,495,311,518,6,15,75,382,27,668,210,1404,630,317,5258,3,44,1933,0,27,655,568,2,1056,8268,5350,10900,1606,8934,67350,367,4,5,55,4,11,7,39,321,47,43,35,8,69,7,17,370,1263,3,10,12,4,32,22,196,203,527,37,93,153,36,330,4204,4637,5070,1305,5361,42511,71982,221918,1144,23,51,93,554,194,1408,11,221,4565,4,14,9,106,19,33,110,1381,454,1197,985,777,601,1689,5654,21916,19111,16944,63799,67434,90244,12,176,27,1155,7226,6489,6817,41,19,26,20,2441,1924,2050,118137,124739,2688183,4,6,157,2739,4213,6572,17161,131288,1,24,209,26,31,37,144,119,123,315,28,14207,17288,25386,20934,12484,120354,9,10,9,9,624,26,29,184,72,294,1376,5458,1417,2746,3483,3261,11016,26344,22965,23868,22809,48582,314549,22294,66572300,0,2,161,1,1176,1067,11,8975,17,16,3,3071,6617,17201,57,62,258,381,528,126,476,38,11914,853,96,5134,1443,508,861,966,4720,0,7,0,36,5,286,2,3,172,1139,639,406,12,8,183,1034,184,3,4,727,1,1670,1039,10,5,798,1299,1645,3495,1557,1,0,0,1,1,1089,0,183,0,0,4,0,1,1,2,807,17,0,0,0,1,1,94,0,52,1,252,0,10,0,1,0,0,0,5,1,560,21,39,1748,55,0,0,1,461,0,1,0,1,3,0,45558
P5,108,438,71,28,15,27,25,23,264,231,139,1017,62,1615,17,3,460,43,43,584,184,731,269,91,4,37,342,713,310,14,75,818,225,2398,13,229,19,35,8,125,380,347,1829,527,627,4744,15,368,456,3613,196,935,4972,8400,13446,8,256,6142,26,12,17,40,86,852,582,838,78,56,78,321,46,1313,707,2373,1595,112,5086,9,14,2940,15,247,159,813,18,541,4023,3497,12298,1769,12614,33122,2017,6,19,108,22,72,12,35,230,52,102,137,58,112,35,33,824,2820,22,11,63,6,59,48,25,106,146,306,211,177,75,389,828,5190,4689,29,310,2770,3365,3871,1625,115,95,655,1511,1455,1245,64,497,7340,20,60,122,128,38,190,382,2060,675,1256,1730,2039,1390,4829,10484,41980,35138,33062,123765,134753,155686,78,26,84,266,1545,1732,2250,42,57,453,101,836,537,291,158037,87496,5320968,11,14,201,3288,6045,8295,20252,187987,13,32,152,27,83,102,747,234,276,272,82,2314,28608,41954,29590,26605,235882,21,29,44,45,847,86,116,335,169,398,5146,6037,2547,1590,2383,4563,10939,31360,15878,24948,33699,60588,192784,27268,69429773,1,221,307,0,508,2692,39,1150,120,304,11,6318,10645,9080,319,306,299,722,318,510,1324,164,7741,1651,379,4956,465,1519,1204,1662,8527,3,16,1,92,37,128,10,7,82,1555,7,979,144,24,151,472,8,10,151,842,13,510,922,32,16,623,589,4349,5690,3129,0,4,0,0,7,420,2,4,0,3,20,0,7,5,6,1270,39,1,1,6,3,20,128,1,45,1,17,1,248,0,1,0,0,1,32,6,99,47,95,484,208,3,0,5,69,0,0,9,11,6,8,24324
