SAMPLE	NUM_FOUND	OqxA_1	OqxB_1	VanC1XY_2	aac(6')-Ic_1	ant(3'')-Ia_1	aph(3')-IIb_2	aph(3')-Ia_1	aph(3')-Ia_10	blaACC-1b_1	blaACC-7_1	blaCFE-1_1	blaCMG_1	blaCMY-53_1	blaCMY-86_1	blaCTX-M-137_1	blaCTX-M-40_1	blaCTX-M-76_1	blaDHA-16_1	blaKLUC-2_1	blaLEN3_1	blaOXA-396_1	blaOXA-488_1	blaOXY-1-3_3	blaOXY-2-2_2	blaOXY-4-1_1	blaOXY-6-2_2	blaPAO_1	blaPLA1a_1	blaSST-1_1	blaTER-2_1	catA2_1	catB2_1	catB7_1	dfrA15_2	dfrA1_8	fosA5_1	fosA_2	fosA_4	fosA_6	fosA_7	hugA_1	lsa(A)_1	mdt(A)_1	qnrB27_1	qnrB30_1	qnrS1_1	sul2_2	tet(57)_1	tet(D)_1	tet(H)_3	tet(M)_1	tet(S)_3	tmexD2_1
D1	10	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	plus	minus	minus	minus
D2	16	plus	plus	minus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	minus	minus
D3	4	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
D4	0	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
D5	13	plus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus
P1	18	minus	plus	minus	plus	plus	minus	minus	minus	plus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	minus	minus
P2	19	plus	plus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	plus	plus	minus	plus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	plus	minus
P3	3	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus
P4	25	plus	plus	plus	minus	plus	plus	plus	minus	plus	minus	minus	minus	plus	minus	plus	minus	plus	minus	minus	minus	minus	plus	plus	minus	minus	minus	plus	plus	minus	minus	minus	minus	plus	minus	plus	minus	plus	plus	minus	plus	minus	minus	minus	minus	plus	plus	plus	minus	plus	minus	plus	minus	plus
P5	10	plus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	minus	minus	plus	minus	minus	minus	minus
