SAMPLE	NUM_FOUND	EF0818	EF3023	KP1_RS17280	KP1_RS17340	KP1_RS17345	KP1_RS17355	PA1464	PA2364	PA2383	PA2384	PA3348	PA4218	PA4219	PA4220	acrA	acrB	alg44	alg8	algA	algB	algC	algD	algE	algF	algG	algI	algJ	algK	algL	algQ	algR	algW	algX	algZ	allA	allB	allC	allD	allR	allS	aprA	aslA	bopD	cgsD	cgsF	cgsG	cheY	cheZ	chpA	chpB	chpC	chpD	chpE	chuX	clpV/tssH	clpV1	cpsA/uppS	cpsB/cdsA	crc	csgB	csgD	csgE	csgF	csgG	dotU/tssL	dotU1	east1	ebpA	ebpB	ebpC	ecbA/fss3	efaA	entA	entB	entC	entD	entE	entF	entS	exoT	fepA	fepB	fepC	fepD	fepG	fes	fha1	fimA	fimB	fimC	fimD	fimE	fimF	fimG	fimH	fimI	fimK	fimT	fimU	fimX	fleN	fleQ	fleR	fleS	flgA	flgF	flgG	flgH	flgI	flgJ	flgM	flgN	flhC	fliA	fliE	fliG	fliI	fliJ	fliM	fliN	fptA	fsrA	fsrB	fsrC	fur	fyuA	fyuA/psn	galF	gelE	gndA	groEL	hcp	hcp/tssD	hcp1	hcp2/tssD2	hcpA	hsiA1	hsiB1/vipA/tssB	hsiC1/vipB/tssC	hsiE1	hsiF1/tssE	hsiG1/tssF	hsiH1/tssG	hsiJ1	ibeC	icmF/tssM	icmF1/tssM1	icmH/tssL	iroB	iroC	iroD	iroE	iroN	irp1	irp2	iutA	lasA	lasI	lasR	lip1	mbtH-like	motA	motB	motD	motY	mrkA	mrkB	mrkC	mrkD	mrkF	mrkH	mrkI	mrkJ	mucA	mucB	mucC	mucD	mucE	mucP	ompA	pchA	pchB	pchC	pchD	pchE	pchF	pchG	pchH	pchI	pchR	pcr1	pcr2	pcr3	pcr4	phoP	phzB1	phzC1	phzD1	phzE1	phzF1	phzG2	phzH	phzM	phzS	pilB	pilE	pilG	pilH	pilI	pilJ	pilK	pilM	pilO	pilP	pilQ	pilR	pilS	pilT	pilU	pilV	pilW	pilX	pilY1	pilY2	plcH	pldB/tle5b	pmrA	popN	ppkA	pppA	pscJ	pscK	pscL	pscN	pscO	pscQ	pscR	pscS	pscT	pvdA	pvdG	pvdQ	rcsA	rcsB	rfbK1	rhlC	rpoN	rpoS	sciN/tssJ	spcS	sprE	srtC	stp1	tagF/pppB	tagQ	tagR	tagS	tagT	tse2	tse3	tse5/rhsP1	tse6	tse7	tssB	tssC	tssE	tssF	tssG	tssJ	tssK	tssL	tssM	tviB	tviC	tviD	tviE	ugd	vasE/tssK	vexA	vexB	vexC	vexD	vexE	vgrG/tssI	vgrG1a	vipA/tssB	vipB/tssC	waaA	waaC	waaF	waaG	waaP	xcpA/pilD	xcpR	xcpS	xcpT	xcpU	xcpV	xcpW	xcpX	yagV/ecpE	yagW/ecpD	yagX/ecpC	yagY/ecpB	yagZ/ecpA	ybtA	ybtE	ybtP	ybtQ	ybtS	ybtT	ybtU	ybtX	ykgK/ecpR
D1	63	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
D2	76	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	plus	plus	minus	plus	minus	plus	plus	plus	minus	minus	plus	minus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	plus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus
D3	42	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus
D4	0	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
D5	111	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	minus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
P1	87	minus	minus	minus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	minus	minus	minus	minus	plus	plus	minus	plus	minus	plus	minus	plus	plus	minus	minus	minus	minus	plus	minus	minus	plus	plus	minus	minus	plus	plus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	plus	minus	plus
P2	190	minus	minus	minus	plus	plus	plus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	plus	minus	minus	plus	minus	minus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	plus	minus	minus	plus	minus	minus	plus	plus	minus	minus	minus	plus	plus	plus	minus	minus	plus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	minus	minus	minus	minus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	plus	plus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	plus	minus	plus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus
P3	0	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus
P4	235	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	minus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	minus	plus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	plus	plus	plus	plus	plus	minus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	minus	minus	plus	minus	plus	minus	minus	minus	plus	plus	minus	plus	minus	plus	minus	minus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	minus	plus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	plus	plus	plus	plus	plus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	plus	minus
P5	66	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	minus	minus	plus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	plus	plus	plus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	plus	plus	plus	minus	plus	minus	plus	plus	plus	minus	minus	plus	minus	plus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	minus	plus	minus	minus	plus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	minus	plus	plus	plus	minus	plus	plus	minus	minus	minus	minus	plus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	minus	plus	plus	plus	plus	plus	plus	plus	plus	minus
